round	file_changed	defect_id	severity	dimension_scored	old_score	new_score	status	description
15	research-synthesis-matching.md	D93	critical	创新评估精度	5	8	keep	Scope Expansion Innovation Assessment added
15	research-synthesis-matching.md	D94	critical	创新评估精度	5	8	keep	AI Drug Discovery Pipeline Assessment added
15	research-synthesis-matching.md	D95	critical	创新评估精度	5	8	keep	Generative vs Predictive Innovation Distinction added
15	research-synthesis-matching.md	D96	moderate	全面性	10	12	keep	AI Autonomy Level Classification added
15	research-synthesis-matching.md	D97	moderate	全面性	10	12	keep	System-Level Innovation Assessment added
15	research-synthesis-matching.md	D98	moderate	全面性	10	12	keep	Nobel/Major Award Validation added
16	research-synthesis-matching.md	D99	critical	前沿检测精度	6	8	keep	Architecture vs Application Frontier Distinction added
16	research-synthesis-matching.md	D100	critical	前沿检测精度	6	8	keep	Causal Reasoning Level Assessment added
16	research-synthesis-matching.md	D101	moderate	全面性	12	13	keep	Continual Learning Assessment added
16	research-synthesis-matching.md	D102	moderate	全面性	12	13	keep	LLM Knowledge Injection Forgetting Assessment added
17	research-synthesis-matching.md	D103	critical	创新评估精度	8	10	keep	Explainability-Driven Innovation Assessment added
17	research-synthesis-matching.md	D104	critical	创新评估精度	8	10	keep	Conditional vs Unconditional Generation Distinction added
17	research-synthesis-matching.md	D105	critical	全面性	13	14	keep	Engineering vs Algorithmic Innovation Distinction added
17	research-synthesis-matching.md	D108	critical	全面性	13	15	keep	Regulatory/Policy Innovation Assessment added
17	research-synthesis-matching.md	D106	moderate	创新评估精度	8	9	keep	Computational Efficiency Breakthrough Assessment added
17	research-synthesis-matching.md	D107	moderate	创新评估精度	8	9	keep	Constrained Optimization Innovation Assessment added
17	research-synthesis-matching.md	D109	moderate	全面性	15	16	keep	Scale-up Innovation Assessment added
17	research-synthesis-matching.md	D110	moderate	准确性	7	8	keep	AI Surpassing Human Expert Validation Requirements added
19	research-synthesis-matching.md	D111	critical	前沿检测精度	8	9	keep	Deployment Failure Downgrade Mechanism added
19	research-synthesis-matching.md	D112	critical	准确性	8	9	keep	Core Capability Challenge Downgrade added
19	research-synthesis-matching.md	D114	critical	前沿检测精度	9	10	keep	Fairness-Driven Frontier Downgrade added
19	research-synthesis-matching.md	D118	critical	准确性	9	10	keep	Accuracy-Reasoning Gap Assessment added
19	research-synthesis-matching.md	D113	moderate	前沿检测精度	10	10	keep	Conditional Established Sub-stage added
19	research-synthesis-matching.md	D115	moderate	真实性	8	9	keep	AI Hallucination/Misinformation Impact Assessment added
19	research-synthesis-matching.md	D116	moderate	前沿检测精度	10	10	keep	Re-emerging Frontier Stage added
19	research-synthesis-matching.md	D117	moderate	全面性	16	17	keep	Field-Level Validation Gap Assessment added
19	research-synthesis-matching.md	D119	moderate	全面性	17	18	keep	Retraction Cascade Assessment added
20	research-synthesis-matching.md	D120	critical	全面性	18	19	keep	Closed-Loop Medical AI Assessment added
20	research-synthesis-matching.md	D121	critical	创新评估精度	9	10	keep	Knowledge Discovery vs Knowledge Application Distinction added
20	research-synthesis-matching.md	D128	critical	全面性	19	20	keep	Self-Modifying AI Safety Assessment added
20	research-synthesis-matching.md	D122	moderate	全面性	20	21	keep	AI Authorship Assessment added
20	research-synthesis-matching.md	D123	moderate	创新评估精度	10	10	keep	Data-Free/Physics-Informed Innovation added
20	research-synthesis-matching.md	D124	moderate	全面性	21	22	keep	Hybrid Intelligence Assessment added
20	research-synthesis-matching.md	D125	moderate	准确性	10	10	keep	Prediction Time Horizon Validation added
20	research-synthesis-matching.md	D126	moderate	全面性	22	23	keep	Ethical Innovation Dimension added
20	research-synthesis-matching.md	D127	moderate	全面性	23	24	keep	Cross-Species Medical AI placeholder added
20	research-synthesis-matching.md	D129	moderate	准确性	10	10	keep	Simultaneous Independent Discovery rule added
21	research-synthesis-matching.md	D130	critical	前沿检测精度	10	11	keep	Post-Nobel/Landmark Performance Regression Assessment added
21	research-synthesis-matching.md	D131	critical	创新评估精度	10	11	keep	Post-Nobel Innovation Trajectory Assessment added
21	research-synthesis-matching.md	D133	critical	真实性	9	10	keep	Landmark Method Known Limitation Assessment added
21	research-synthesis-matching.md	D132	moderate	创新评估精度	11	12	keep	Incremental vs Fundamental Improvement Distinction added
21	research-synthesis-matching.md	D134	moderate	全面性	24	25	keep	Unsolved Sub-problem Assessment added
21	research-synthesis-matching.md	D135	moderate	创新评估精度	12	12	keep	Compute-Method Trade-off Assessment added
22	research-synthesis-matching.md	D136	critical	真实性	10	11	keep	Quantum Advantage Verification Assessment added
22	research-synthesis-matching.md	D137	critical	全面性	25	26	keep	Novel Life Form/Bio-Computational Entity Assessment added
22	research-synthesis-matching.md	D138	critical	全面性	26	27	keep	Biological Computing Paradigm Assessment added
22	research-synthesis-matching.md	D139	moderate	全面性	27	28	keep	Biological System Degradation Assessment added
22	research-synthesis-matching.md	D140	moderate	全面性	28	29	keep	Non-Natural Biological System Assessment added
22	research-synthesis-matching.md	D141	moderate	创新评估精度	12	13	keep	Hybrid Computing Architecture Assessment added
22	research-synthesis-matching.md	D142	moderate	全面性	29	30	keep	Multi-Domain Fusion (>2 Domains) Assessment added
23	research-synthesis-matching.md	D143	critical	准确性	10	11	keep	Cross-Dimensional Conflict Resolution Rule 1 (Generative vs Compute-Method) added
23	research-synthesis-matching.md	D144	critical	准确性	11	12	keep	Cross-Dimensional Conflict Resolution Rule 2 (Limitation Bonus vs Improvement Type) added
23	research-synthesis-matching.md	D145	critical	准确性	12	13	keep	Cross-Dimensional Conflict Resolution Rule 3 (Closed-Loop vs Integration Bonus) added
23	research-synthesis-matching.md	D150	critical	全面性	30	31	keep	Cross-Dimensional Conflict Resolution Rule 4 (Fusion Assessment Unified) added
23	research-synthesis-matching.md	D152	critical	安全性	5	8	keep	Cross-Dimensional Conflict Resolution Rule 5 (Continual Learning vs Self-Modifying Boundary) added
23	research-synthesis-matching.md	D146	moderate	准确性	13	13	keep	Cross-Dimensional Conflict Resolution Rule 6 (Fairness vs Ethics Priority) added
23	research-synthesis-matching.md	D147	moderate	全面性	31	32	keep	Cross-Dimensional Conflict Resolution Rule 7 (Knowledge Discovery vs AI Autonomy) added
23	research-synthesis-matching.md	D148	moderate	创新评估精度	13	14	keep	Cross-Dimensional Conflict Resolution Rule 8 (Quantum vs Efficiency) added
23	research-synthesis-matching.md	D149	moderate	全面性	32	33	keep	Cross-Dimensional Conflict Resolution Rule 9 (Bio-Autonomy B0-B4) added
23	research-synthesis-matching.md	D151	moderate	准确性	13	13	keep	Cross-Dimensional Conflict Resolution Rule 10 (Explainability vs Accuracy-Reasoning) added
23	research-synthesis-matching.md	D153	moderate	前沿检测精度	11	12	keep	Conditional Established vs Re-emerging Transition Rules added
24	research-synthesis-matching.md	D154	moderate	全面性	33	34	keep	Neural ODE/Dynamical System Causal Reasoning Assessment added
24	research-synthesis-matching.md	D155	moderate	创新评估精度	14	15	keep	Quantum-Accelerated Classical AI Assessment added
25	research-synthesis-matching.md	D156	critical	真实性	11	12	keep	Biological Plausibility Check added
25	research-synthesis-matching.md	D157	critical	真实性	12	13	keep	Hit Rate Plausibility Assessment added
25	research-synthesis-matching.md	D159	critical	准确性	13	14	keep	Surpassing-SOTA Claim Verification added
25	research-synthesis-matching.md	D160	critical	真实性	13	14	keep	LLM Unstructured Data Shortcut Detection added
25	research-synthesis-matching.md	D158	moderate	全面性	34	35	keep	Federated Learning Performance Heterogeneity added
25	research-synthesis-matching.md	D161	moderate	创新评估精度	15	15	keep	Method Selection Justification Assessment added
25	research-synthesis-matching.md	D162	moderate	全面性	35	36	keep	Synthetic Data Fidelity-Privacy Trade-off Assessment added
25	research-synthesis-matching.md	D163	moderate	准确性	14	14	keep	Zero-shot Claim Plausibility Assessment added
25	research-synthesis-matching.md	D164	moderate	全面性	36	37	keep	Cross-Domain Claim Calibration added
26	research-synthesis-matching.md	D165	critical	知识综合	0	5	keep	Technology Convergence Trajectory added
26	research-synthesis-matching.md	D166	critical	知识综合	5	8	keep	Cross-Domain Hypothesis Generation added
26	research-synthesis-matching.md	D167	critical	知识综合	8	10	keep	Cross-Paper Pattern Recognition added
26	research-synthesis-matching.md	D169	critical	知识综合	10	12	keep	Paradigm Shift Trajectory added
26	research-synthesis-matching.md	D168	moderate	知识综合	12	13	keep	Problem-Solution Matching added
26	research-synthesis-matching.md	D170	moderate	知识综合	13	14	keep	Architecture Selection Trend added
26	research-synthesis-matching.md	D171	moderate	知识综合	14	15	keep	Research Ecosystem Trend added
26	research-synthesis-matching.md	D172	moderate	知识综合	15	16	keep	Discipline Development Ladder added
27	research-synthesis-matching.md	D173	critical	推理能力	0	8	keep	Information-Theoretic Feasibility Assessment added
27	research-synthesis-matching.md	D174	critical	推理能力	8	12	keep	Statistical Power Adequacy Check added
27	research-synthesis-matching.md	D175	moderate	全面性	37	38	keep	Federated Learning Bias Propagation Assessment added
28	research-synthesis-matching.md	D176	critical	准确性	14	15	keep	Emergent Capability Controversy Assessment added
28	research-synthesis-matching.md	D179	critical	准确性	15	16	keep	Explanation Faithfulness Assessment added
28	research-synthesis-matching.md	D177	moderate	创新评估精度	15	16	keep	Generative Model Mode Collapse Assessment added
28	research-synthesis-matching.md	D178	moderate	全面性	38	39	keep	Self-Supervised Implicit Bias Assessment added
29	research-synthesis-matching.md	D180	critical	知识综合	16	20	keep	Next-Frontier Prediction Framework added
30	research-synthesis-matching.md	D181	critical	推理能力	12	18	keep	Domain Knowledge Reasoning Framework added
30	research-synthesis-matching.md	D182	critical	推理能力	18	22	keep	Method-Problem Fit Reasoning added
31	research-synthesis-matching.md	D183	critical	知识创造	0	10	keep	Experiment Design from First Principles added
31	research-synthesis-matching.md	D184	critical	知识创造	10	15	keep	Hypothesis-to-Validation Pathway Design added
31	research-synthesis-matching.md	D185	critical	知识创造	15	20	keep	Method Invention from Problem Structure added
31	research-synthesis-matching.md	D186	critical	知识创造	20	23	keep	Understanding Verification Design added
31	research-synthesis-matching.md	D189	critical	知识创造	23	26	keep	Bias Remediation Design added
31	research-synthesis-matching.md	D187	moderate	知识创造	26	28	keep	Novel Metric Design added
31	research-synthesis-matching.md	D188	moderate	知识创造	28	30	keep	AI Intervention Trial Design added
31	research-synthesis-matching.md	D190	moderate	知识创造	30	32	keep	Human-AI Collaboration Protocol Design added
32	research-synthesis-matching.md	D193	critical	推理链完整性	0	8	keep	Reasoning Chain Integration Protocol added
32	research-synthesis-matching.md	D196	critical	推理链完整性	8	14	keep	Knowledge State Update Protocol added
32	research-synthesis-matching.md	D191	moderate	推理链完整性	14	17	keep	Performance-to-Clinical Translation added
32	research-synthesis-matching.md	D192	moderate	推理链完整性	17	19	keep	Innovation-Frontier Auto-trigger Chain added
32	research-synthesis-matching.md	D194	moderate	推理链完整性	19	21	keep	Convergence-Paradigm Auto-connection added
32	research-synthesis-matching.md	D195	moderate	推理链完整性	21	23	keep	Failure-Remediation Chain added
33	research-synthesis-matching.md	D198	critical	自洽性	0	8	keep	Fairness vs Ethical Innovation Conflict Resolution added
33	research-synthesis-matching.md	D200	critical	自洽性	8	14	keep	BioPlausibility Rebuttable Gate added
33	research-synthesis-matching.md	D197	moderate	自洽性	14	16	keep	Rule Conflict Priority Hierarchy added
33	research-synthesis-matching.md	D199	moderate	自洽性	16	18	keep	Foundation Model Below All SOTA Resolution added
33	research-synthesis-matching.md	D201	moderate	自洽性	18	19	keep	Closed-Loop vs Integration Bonus Resolution added
33	research-synthesis-matching.md	D202	moderate	自洽性	19	20	keep	Post-Nobel Independent Assessment Rule added
33	research-synthesis-matching.md	D203	moderate	自洽性	20	21	keep	Domain-Specific Paradigm Shift Frequency added
33	research-synthesis-matching.md	D204	moderate	自洽性	21	22	keep	Hit Rate Search Efficiency vs Claim Inflation added
34	research-synthesis-matching.md	D208	critical	自动进化	0	8	keep	Calibration Feedback Loop added
34	research-synthesis-matching.md	D205	moderate	自动进化	8	10	keep	Cross-Domain Knowledge Transfer Reasoning added
34	research-synthesis-matching.md	D206	moderate	自动进化	10	12	keep	Cross-Domain Safety Transfer added
34	research-synthesis-matching.md	D207	moderate	自动进化	12	14	keep	Domain Constraint Transfer added
34	research-synthesis-matching.md	D209	moderate	自动进化	14	16	keep	Periodic Refresh Protocol added
36	research-synthesis-matching.md	D210	critical	基线参考	0	8	keep	Diagnostic Accuracy Baselines + Drug Hit Rate Baselines added
36	research-synthesis-matching.md	D212	critical	Agentic评估	8	14	keep	Agentic AI Assessment Protocol added
36	research-synthesis-matching.md	D217	critical	实验设计	14	20	keep	Computational Experiment Design Protocol added
36	research-synthesis-matching.md	D218	critical	撞库校准	20	26	keep	Hit Rate Baselines updated for AI virtual screening
36	research-synthesis-matching.md	D221	critical	临床意义	26	32	keep	MCID Reference Values added
36	research-synthesis-matching.md	D222	critical	子域评估	32	38	keep	Sub-Domain Differentiated Assessment added
36	research-synthesis-matching.md	D223	critical	前沿评估	38	44	keep	Sub-Domain Specific Frontier Assessment added
36	research-synthesis-matching.md	D227	critical	基础模型	44	50	keep	Foundation Model Assessment updated with MedVLMBench evidence
36	research-synthesis-matching.md	D211	moderate	声明验证	50	52	keep	Claim Precision Verification added
36	research-synthesis-matching.md	D213	moderate	临床翻译	52	54	keep	Rare Disease Performance-to-Clinical specificity added
36	research-synthesis-matching.md	D214	moderate	公平性	54	56	keep	Geographic Generalization Assessment added
36	research-synthesis-matching.md	D215	moderate	撞库基线	56	58	keep	Unsupervised Drug Screening Hit Rate Baseline added
36	research-synthesis-matching.md	D216	moderate	分布验证	58	60	keep	Single-cell Distribution Assumption Verification noted
36	research-synthesis-matching.md	D219	moderate	创新评估	60	62	keep	End-to-end AI Drug Discovery innovation subtype noted
36	research-synthesis-matching.md	D220	moderate	验证协议	62	64	keep	Clinical Stage Success Rate Comparison added
36	research-synthesis-matching.md	D224	moderate	EEG基线	64	66	keep	Motor Imagery Classification Baselines added to EEG ref
36	research-synthesis-matching.md	D225	moderate	验证基线	66	68	keep	Domain Validation Baseline (3.7% external validation) noted
36	research-synthesis-matching.md	D226	moderate	校准信号	68	70	keep	Domain-level Calibration Signal noted
36	research-synthesis-matching.md	D228	moderate	创新评估	70	72	keep	Fine-tuning Strategy Innovation Assessment noted
36	research-synthesis-matching.md	D229	moderate	创新评估	72	74	keep	Domain Pretraining Strategy Innovation noted
37	research-synthesis-matching.md	D230	critical	新兴方向	0	8	keep	Digital Twin Validation Protocol added
37	research-synthesis-matching.md	D231	critical	新兴方向	8	16	keep	Biological Computing System Assessment added
37	research-synthesis-matching.md	D233	critical	新兴方向	16	24	keep	AI-Designed Biological Entity Safety Assessment added
37	research-synthesis-matching.md	D232	moderate	新兴方向	24	28	keep	Sensor-Algorithm Joint Assessment added
37	research-synthesis-matching.md	D234	moderate	新兴方向	28	32	keep	Multimodal Contribution Assessment added
37	research-synthesis-matching.md	D235	moderate	新兴方向	32	34	keep	AI-Assisted Trial Design Assessment noted
38	research-synthesis-matching.md	D236	critical	核心实验	0	8	keep	Gene Editing Safety Assessment Protocol added
38	research-synthesis-matching.md	D237	critical	核心实验	8	14	keep	N-of-1 Experiment Assessment Protocol added
38	research-synthesis-matching.md	D238	moderate	核心实验	14	17	keep	Off-target Detection Method Assessment added
38	research-synthesis-matching.md	D239	moderate	核心实验	17	20	keep	Multi-Platform Benchmark Comparison Protocol added
38	research-synthesis-matching.md	D240	moderate	核心实验	20	23	keep	Computational-Experimental Validation Joint Assessment added
40	deep-learning-bme.md	D241	critical	新兴架构	0	8	keep	Diffusion Models for Medical Imaging added
40	deep-learning-bme.md	D242	critical	新兴架构	8	14	keep	Mamba/SSM for BME added
40	deep-learning-bme.md	D243	critical	新兴架构	14	20	keep	Vision-Language Models for Medicine added
40	deep-learning-bme.md	D248	moderate	新兴架构	20	23	keep	Continual/Lifelong Learning for BME added
40	clinical-statistical-framework.md	D244	critical	公平性	0	8	keep	Fairness Audit Protocol added
40	clinical-statistical-framework.md	D245	critical	漂移检测	8	14	keep	Model Drift Detection Protocol added
40	clinical-statistical-framework.md	D246	moderate	临床试验	14	17	keep	AI-Specific Clinical Trial Design added
40	signal-processing-foundations.md	D247	critical	可穿戴	0	8	keep	Wearable Device Signal Processing added
40	signal-processing-foundations.md	D249	critical	多模态融合	8	14	keep	Multimodal Signal Fusion Pipeline added
40	signal-processing-foundations.md	D250	moderate	DL去伪影	14	17	keep	DL-Based Artifact Removal added
41	research-synthesis-matching.md	D251	critical	临床转化	0	8	keep	Computational Biomarker Assessment Protocol added
41	research-synthesis-matching.md	D252	critical	临床转化	8	14	keep	AI Screening RCT Assessment Protocol added
41	research-synthesis-matching.md	D253	critical	临床转化	14	20	keep	AI-Designed Protein Verification Protocol added
41	research-synthesis-matching.md	D254	moderate	监管合规	20	23	keep	Regulatory Compliance Assessment added
42	SKILL.md	D255	critical	跨文件矛盾	0	8	keep	Hit Rate基线矛盾修复(BioPlausibility+HitRate)
42	SKILL.md	D256	moderate	跨文件缺失	8	12	keep	Emerging DL/Fairness/Drift/Wearable摘要同步
43	clinical-statistical-framework.md	D257	moderate	重训练失败	12	14	keep	Model Retraining Failure Protocol added
43	clinical-statistical-framework.md	D258	moderate	联邦学习安全	14	17	keep	Federated Learning Security Assessment added
44	clinical-statistical-framework.md	D259	critical	实用临床试验	17	22	keep	Pragmatic Clinical Trial Assessment Protocol added
44	clinical-statistical-framework.md	D260	moderate	卫生经济学	22	25	keep	Health Economics Assessment Protocol added
44	clinical-statistical-framework.md	D261	moderate	数据标准化	25	27	keep	Data Standardization Assessment added
44	research-synthesis-matching.md	D262	critical	AI-ECG跨疾病筛查	26	32	keep	AI-ECG Cross-Disease Screening Assessment Protocol added
44	research-synthesis-matching.md	D263	critical	AI药物发现失败	32	38	keep	AI Drug Discovery Clinical Translation Failure Assessment added
44	research-synthesis-matching.md	D264	critical	计算生物标志物不一致	38	44	keep	Computational Biomarker-Gold Standard Discordance Protocol added
44	research-synthesis-matching.md	D265	critical	AI筛查过度诊断	44	50	keep	AI Screening Overdiagnosis Assessment Protocol added
44	research-synthesis-matching.md	D266	critical	AI筛查工作流程效率	50	56	keep	AI Screening Workflow Efficiency Assessment Protocol added
44	research-synthesis-matching.md	D267	critical	Agentic工具可靠性	56	62	keep	Agentic AI Tool Chain Reliability Assessment added
44	research-synthesis-matching.md	D268	critical	罕见病诊断评估	62	68	keep	Rare Disease Diagnostic Assessment Protocol added
44	research-synthesis-matching.md	D269	critical	多疾病干扰评估	68	74	keep	Multi-Disease AI Diagnostic Interference Assessment added
44	research-synthesis-matching.md	D270	critical	多疾病校准评估	74	80	keep	Multi-Disease Calibration Assessment Protocol added
45	research-synthesis-matching.md	D271	critical	AI临床试验设计	80	86	keep	AI-Optimized Clinical Trial Design Assessment Protocol added
45	research-synthesis-matching.md	D272	critical	数字孪生临床部署	86	92	keep	Digital Twin Clinical Deployment Assessment Protocol added
45	research-synthesis-matching.md	D273	critical	BCI长期稳定性	92	98	keep	BCI Long-Term Stability & Home-Use Assessment Protocol added
45	research-synthesis-matching.md	D274	critical	空间生物学AI	98	104	keep	Spatial Biology + AI Assessment Protocol added
45	research-synthesis-matching.md	D275	critical	AI手术评估	104	110	keep	AI for Surgery Assessment Protocol added
45	research-synthesis-matching.md	D276	critical	液体活检AI	110	116	keep	Liquid Biopsy AI Assessment Protocol added
45	research-synthesis-matching.md	D277	critical	细胞治疗AI	116	122	keep	Cell Therapy AI Assessment Protocol added
45	research-synthesis-matching.md	D278	critical	多组学整合AI	122	128	keep	Multi-Omics Integration AI Assessment Protocol added
46	research-synthesis-matching.md	D279	critical	体内基因编辑递送	128	134	keep	In Vivo Gene Editing Delivery Assessment Protocol added
46	research-synthesis-matching.md	D280	critical	计算生物标志物前瞻验证	134	140	keep	Computational Biomarker Prospective Validation Protocol added
46	research-synthesis-matching.md	D281	critical	联邦学习收敛通信	140	146	keep	Federated Learning Convergence & Communication Assessment added
46	research-synthesis-matching.md	D282	critical	真实世界证据AI	146	152	keep	Real-World Evidence AI Assessment Protocol added
46	research-synthesis-matching.md	D283	critical	AI鲁棒性对抗评估	152	158	keep	AI Model Robustness & Adversarial Assessment Protocol added
46	research-synthesis-matching.md	D284	critical	AI模型版本化可复现	158	164	keep	AI Model Versioning & Reproducibility Protocol added
47	research-synthesis-matching.md	D285	critical	反事实临床推理	164	170	keep	Counterfactual Clinical Reasoning Protocol added
47	research-synthesis-matching.md	D286	critical	生物合理性第一性原理	170	176	keep	Biological Plausibility First Principles Reasoning Protocol added
47	research-synthesis-matching.md	D287	critical	临床工作流整合推理	176	182	keep	Clinical Workflow Integration Reasoning Protocol added
47	research-synthesis-matching.md	D288	critical	知识结构驱动科研空白识别	182	188	keep	Knowledge Structure-Driven Research Gap Identification Protocol added
47	research-synthesis-matching.md	D289	critical	跨域类比推理	188	194	keep	Cross-Domain Analogy Reasoning Protocol added
47	research-synthesis-matching.md	D290	critical	系统架构失败预测	194	200	keep	System Architecture-Driven Failure Prediction Protocol added
48	research-synthesis-matching.md	D291	critical	六组件整合协议	200	206	keep	Six-Component Integration Protocol added
48	research-synthesis-matching.md	D292	critical	进化触发协议	206	212	keep	Evolution Trigger Protocol added
48	research-synthesis-matching.md	D293	critical	跨组件一致性验证	212	218	keep	Cross-Component Consistency Verification Protocol added
48	research-synthesis-matching.md	D294	critical	技能自我评估协议	218	224	keep	Skill Self-Assessment Protocol added
48	research-synthesis-matching.md	D295	critical	知识图谱整合协议	224	230	keep	Knowledge Graph Integration Protocol added
49	research-synthesis-matching.md	D296	critical	AI生成科学内容检测	230	236	keep	AI-Generated Scientific Content Detection Protocol added
49	research-synthesis-matching.md	D297	critical	临床AI警报疲劳评估	236	242	keep	Clinical AI Alert Fatigue Assessment Protocol added
49	research-synthesis-matching.md	D298	critical	AI-人类团队绩效评估	242	248	keep	AI-Human Team Performance Assessment Protocol added
49	research-synthesis-matching.md	D299	critical	模型漂移检测与监控	248	254	keep	Model Drift Detection and Monitoring Protocol added
49	research-synthesis-matching.md	D300	critical	AI安全事件分类	254	260	keep	AI Safety Incident Classification Protocol added
49	research-synthesis-matching.md	D301	critical	多模态LLM临床评估	260	266	keep	Multi-Modal LLM Clinical Assessment Protocol added
50	research-synthesis-matching.md	D302	critical	AI临床试验参与者选择偏差评估	266	272	keep	AI Clinical Trial Participant Selection Bias Assessment Protocol added
50	research-synthesis-matching.md	D303	critical	AI诊断系统对抗性鲁棒性临床场景评估	272	278	keep	AI Diagnostic System Adversarial Robustness Clinical Scenario Assessment Protocol added
50	research-synthesis-matching.md	D304	critical	AI模型退役与替代协议	278	284	keep	AI Model Retirement and Replacement Protocol added
50	research-synthesis-matching.md	D305	critical	AI医疗数据隐私攻击与防御评估	284	290	keep	AI Medical Data Privacy Attack and Defense Assessment Protocol added
50	research-synthesis-matching.md	D306	critical	AI系统可解释性临床充分性评估	290	296	keep	AI System Explainability Clinical Adequacy Assessment Protocol added
50	research-synthesis-matching.md	D307	critical	AI辅助诊断认知偏差放大评估	296	302	keep	AI-Assisted Diagnosis Cognitive Bias Amplification Assessment Protocol added
51	research-synthesis-matching.md	D308	critical	AI上下文切换评估	302	308	keep	AI Context Switching Assessment Protocol added [Nature Medicine 2025]
51	research-synthesis-matching.md	D309	critical	体内生成细胞疗法评估	308	314	keep	In Vivo Generated Cell Therapy Assessment Protocol added [Nature Biotech 2025]
51	research-synthesis-matching.md	D310	critical	AI代理自主实验评估	314	320	keep	Agentic AI Autonomous Experiment Assessment Protocol added [Nature Biotech 2025]
51	research-synthesis-matching.md	D311	critical	器官芯片肿瘤芯片模型评估	320	326	keep	Organ-on-Chip and Tumor-on-Chip Model Assessment Protocol added [Nature Biotech 2025]
51	research-synthesis-matching.md	D312	critical	计算代谢组学AI评估	326	332	keep	Computational Metabolomics AI Assessment Protocol added [Nature Biotech 2025]
51	research-synthesis-matching.md	D313	critical	AI听诊器跨疾病筛查评估	332	338	keep	AI-Stethoscope Cross-Disease Screening Assessment Protocol added [Lancet 2026]
51	research-synthesis-matching.md	D314	critical	合成生物学治疗评估	338	344	keep	Synthetic Biology Therapeutic Assessment Protocol added [Nature Biotech 2025]
51	research-synthesis-matching.md	D315	critical	AI筛查商业化直接付费评估	344	350	keep	AI-Assisted Screening Commercialization Direct-to-Consumer Assessment Protocol added [NEJM 2025]
52	research-synthesis-matching.md	D316	critical	病理基础模型微调临床转化评估	350	356	keep	Pathology Foundation Model Fine-Tuning Clinical Translation Assessment Protocol added [Nature Medicine 2025]
52	research-synthesis-matching.md	D317	critical	后AlphaFold药物虚拟筛选评估	356	362	keep	Post-AlphaFold Drug Virtual Screening Assessment Protocol added [Nature Biotech 2025]
52	research-synthesis-matching.md	D318	critical	侵入性BCI首次人体试验评估	362	368	keep	Invasive BCI First-in-Human Trial Assessment Protocol added [Science Corp/Neuralink 2025]
52	research-synthesis-matching.md	D319	critical	LLM辅助复杂专科诊疗RCT评估	368	374	keep	LLM-Assisted Complex Specialty Care RCT Assessment Protocol added [Nature Medicine 2026]
52	research-synthesis-matching.md	D320	critical	体内碱基编辑临床治疗评估	374	380	keep	In Vivo Base Editing Clinical Therapy Assessment Protocol added [Nature Biotech 2025]
52	research-synthesis-matching.md	D321	critical	个性化癌症疫苗临床试验评估	380	386	keep	Personalized Cancer Vaccine Clinical Trial Assessment Protocol added [Nature Biotech 2025]
53	research-synthesis-matching.md	D322	critical	顶刊作者思维框架-疾病优先推理	386	392	keep	Nature Medicine Author Thinking Framework: Disease-First Reasoning Protocol added [Nature Medicine editorial + Topol + Kolachalama]
53	research-synthesis-matching.md	D323	critical	顶刊作者思维框架-平台优先推理	392	398	keep	Nature Biotechnology Author Thinking Framework: Platform-First Reasoning Protocol added [Nature Biotech editorial + Profluent + Susztak]
53	research-synthesis-matching.md	D324	critical	顶刊作者思维框架-证据优先推理	398	404	keep	Lancet/NEJM Author Thinking Framework: Evidence-First Reasoning Protocol added [MASAI + CPS1 + Prime Editing]
53	research-synthesis-matching.md	D325	critical	跨期刊整合推理协议	404	410	keep	Cross-Journal Integrative Reasoning Protocol added [4-lens assessment + weakest-lens rule]
53	research-synthesis-matching.md	D326	critical	AI设计生物实体安全评估	410	416	keep	AI-Designed Biological Entity Safety Assessment Protocol added [Nature 2025 OpenCRISPR-1]
